Date,Open,High,Low,Close,Adj Close,Volume
2020-04-27,9.950000,9.950000,9.860000,9.900000,9.900000,176100
2020-04-28,9.928000,9.960000,9.810000,9.900000,9.900000,1229900
2020-04-29,9.900000,9.970000,9.900000,9.900000,9.900000,9200
2020-04-30,9.900000,9.900000,9.850000,9.850000,9.850000,82800
2020-05-01,9.900000,9.900000,9.830000,9.850000,9.850000,255900
2020-05-04,9.880000,9.880000,9.830000,9.840000,9.840000,213500
2020-05-05,9.880000,9.880000,9.842000,9.842000,9.842000,789700
2020-05-06,10.040000,10.040000,9.857000,9.857000,9.857000,1600
2020-05-07,9.870000,9.870000,9.840000,9.860000,9.860000,156600
2020-05-08,9.850000,10.000000,9.850000,10.000000,10.000000,349600
2020-05-11,10.100000,10.100000,9.950000,9.950000,9.950000,721500
2020-05-12,10.590000,10.590000,9.970000,10.050000,10.050000,110700
2020-05-13,10.400000,10.400000,10.070000,10.150000,10.150000,248100
2020-05-14,10.680000,10.680000,10.140000,10.165000,10.165000,303700
2020-05-15,10.240000,10.250000,10.180000,10.187000,10.187000,192500
2020-05-18,10.170000,10.330000,10.145000,10.200000,10.200000,1123000
2020-05-19,10.220000,10.250000,10.000000,10.200000,10.200000,170200
2020-05-20,10.220000,10.290000,10.080000,10.250000,10.250000,199400
2020-05-21,10.250000,10.400000,10.210000,10.250000,10.250000,285400
2020-05-22,10.250000,10.290000,10.200000,10.260000,10.260000,34600
2020-05-26,10.270000,10.270000,10.180000,10.195000,10.195000,68500
2020-05-27,10.130000,10.210000,10.060000,10.210000,10.210000,56400
2020-05-28,10.180000,10.300000,10.150000,10.200000,10.200000,67900
2020-05-29,10.150000,10.490000,10.150000,10.250000,10.250000,307100
2020-06-01,10.370000,10.370000,10.150000,10.250000,10.250000,83000
2020-06-02,10.200000,10.270000,10.195000,10.250000,10.250000,101400
2020-06-03,10.270000,10.300000,10.210000,10.250000,10.250000,70600
2020-06-04,10.290000,10.300000,10.220000,10.250000,10.250000,72500
2020-06-05,10.330000,10.430000,10.050000,10.250000,10.250000,310200
2020-06-08,10.240000,10.450000,10.060000,10.240000,10.240000,386700
2020-06-09,10.400000,10.420000,10.170000,10.290000,10.290000,1058000
2020-06-10,10.530000,10.900000,10.110000,10.500000,10.500000,1065800
2020-06-11,10.500000,10.583000,10.300000,10.400000,10.400000,397200
2020-06-12,10.570000,10.594000,10.300000,10.450000,10.450000,75000
2020-06-15,10.510000,10.600000,10.380000,10.500000,10.500000,71300
2020-06-16,10.590000,10.590000,10.300000,10.490000,10.490000,464500
2020-06-17,10.590000,10.610000,10.400000,10.560000,10.560000,373400
2020-06-18,10.600000,10.720000,10.480000,10.510000,10.510000,266300
2020-06-19,10.550000,10.600000,10.433000,10.530000,10.530000,573200
2020-06-22,10.690000,10.690000,10.400000,10.470000,10.470000,639700
2020-06-23,10.550000,10.600000,10.350000,10.570000,10.570000,359800
2020-06-24,10.570000,10.600000,10.370000,10.500000,10.500000,400000
2020-06-25,10.500000,10.850000,10.440000,10.750000,10.750000,559800
2020-06-26,10.730000,10.860000,10.500000,10.650000,10.650000,597000
2020-06-29,10.780000,10.840000,10.625000,10.760000,10.760000,630400
2020-06-30,10.800000,10.982000,10.750000,10.980000,10.980000,517400
2020-07-01,11.000000,11.250000,10.930000,10.960000,10.960000,452500
2020-07-02,10.960000,11.000000,10.872000,10.900000,10.900000,286700
2020-07-06,11.000000,11.360000,11.000000,11.260000,11.260000,2559400
2020-07-07,11.500000,11.600000,10.920000,11.150000,11.150000,545300
2020-07-08,11.150000,11.320000,11.020000,11.180000,11.180000,373000
2020-07-09,11.380000,11.390000,10.950000,11.220000,11.220000,292800
2020-07-10,11.240000,11.240000,11.030000,11.210000,11.210000,120100
2020-07-13,11.740000,11.740000,10.570000,11.060000,11.060000,521700
2020-07-14,10.770000,11.240000,10.770000,11.000000,11.000000,126700
2020-07-15,10.930000,11.130000,10.810000,10.990000,10.990000,150800
2020-07-16,11.970000,12.440000,11.010000,12.210000,12.210000,7909900
2020-07-17,12.200000,12.850000,11.860000,12.300000,12.300000,3118200
2020-07-20,12.380000,12.550000,11.230000,11.620000,11.620000,976100
2020-07-21,11.600000,12.330000,11.480000,12.200000,12.200000,1280900
2020-07-22,12.060000,12.300000,11.800000,12.190000,12.190000,532100
2020-07-23,12.110000,12.300000,11.650000,11.750000,11.750000,471100
2020-07-24,11.610000,12.150000,11.440000,11.690000,11.690000,485100
2020-07-27,11.770000,11.780000,11.270000,11.440000,11.440000,301700
2020-07-28,11.500000,11.530000,11.310000,11.380000,11.380000,251200
2020-07-29,11.400000,11.500000,11.170000,11.250000,11.250000,337500
2020-07-30,11.170000,11.340000,10.900000,10.930000,10.930000,460000
2020-07-31,10.990000,11.140000,10.480000,10.590000,10.590000,897400
2020-08-03,10.650000,10.700000,10.260000,10.520000,10.520000,797300
2020-08-04,10.670000,10.850000,10.520000,10.650000,10.650000,472600
2020-08-05,10.830000,10.830000,10.480000,10.660000,10.660000,1038400
2020-08-06,10.800000,10.800000,10.550000,10.790000,10.790000,168600
2020-08-07,10.850000,10.850000,10.500000,10.600000,10.600000,613600
2020-08-10,10.600000,10.750000,10.510000,10.740000,10.740000,156900
2020-08-11,10.610000,10.740000,10.570000,10.710000,10.710000,324700
2020-08-12,10.650000,11.100000,10.650000,10.900000,10.900000,1117200
2020-08-13,10.940000,11.090000,10.900000,10.990000,10.990000,330100
2020-08-14,11.050000,11.150000,10.790000,10.870000,10.870000,125900
2020-08-17,10.750000,11.051000,10.750000,10.890000,10.890000,179600
2020-08-18,10.800000,10.920000,10.660000,10.690000,10.690000,332800
2020-08-19,10.760000,10.830000,10.350000,10.360000,10.360000,434100
2020-08-20,10.370000,10.580000,10.370000,10.550000,10.550000,155500
2020-08-21,10.440000,10.790000,10.420000,10.600000,10.600000,225700
2020-08-24,10.600000,10.740000,10.520000,10.710000,10.710000,240800
2020-08-25,10.620000,10.970000,10.620000,10.880000,10.880000,405200
2020-08-26,11.000000,11.390000,10.700000,10.870000,10.870000,395300
2020-08-27,11.180000,11.180000,10.650000,10.680000,10.680000,682900
2020-08-28,10.870000,10.880000,10.650000,10.740000,10.740000,254000
2020-08-31,10.870000,11.200000,10.670000,10.750000,10.750000,339000
2020-09-01,10.840000,11.620000,10.740000,11.000000,11.000000,568400
2020-09-02,13.650000,14.700000,12.220000,14.020000,14.020000,45908900
2020-09-03,13.120000,13.770000,12.800000,13.140000,13.140000,7003400
2020-09-04,13.250000,13.420000,12.000000,12.640000,12.640000,3827400
2020-09-08,12.150000,12.600000,12.050000,12.300000,12.300000,2460300
2020-09-09,12.550000,13.280000,12.210000,12.880000,12.880000,3812500
2020-09-10,13.250000,13.250000,12.240000,12.360000,12.360000,3308400
2020-09-11,12.630000,12.630000,12.020000,12.100000,12.100000,1973300
2020-09-14,12.300000,12.690000,12.200000,12.220000,12.220000,2344900
2020-09-15,12.650000,12.750000,12.400000,12.450000,12.450000,1788900
2020-09-16,12.450000,13.150000,12.447000,12.880000,12.880000,2245700
2020-09-17,12.750000,13.115000,12.510000,12.800000,12.800000,1220100
2020-09-18,12.850000,13.100000,12.510000,12.850000,12.850000,1112300
2020-09-21,12.510000,12.700000,12.310000,12.610000,12.610000,1336300
